id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
91789,0926bde8,2023/02/21 13:23:29,1,164732b9bletest0,null,-68,2,,1676957045000
91801,0926bde8,2023/02/21 13:23:30,1,164732b9bletest0,null,-83,3,,1676957045000
91810,0926bde8,2023/02/21 13:23:32,1,164732b9bletest0,null,-71,2,,1676957045000
91820,0926bde8,2023/02/21 13:23:34,1,164732b9bletest0,null,-76,3,,1676957045000
91828,0926bde8,2023/02/21 13:23:35,1,164732b9bletest0,null,-79,3,,1676957045000
91842,0926bde8,2023/02/21 13:23:38,1,164732b9bletest0,null,-91,5,,1676957045000
92438,0926bde8,2023/02/21 13:24:11,1,164732b9bletest0,null,-71,2,,1676957142000
92449,0926bde8,2023/02/21 13:24:51,1,164732b9bletest0,null,-65,1,,1676957142000
92450,0926bde8,2023/02/21 13:24:12,1,164732b9bletest0,null,-67,2,,1676957142000
92460,0926bde8,2023/02/21 13:24:13,1,164732b9bletest0,null,-71,2,,1676957142000
92463,0926bde8,2023/02/21 13:24:53,1,164732b9bletest0,null,-62,1,,1676957142000
92466,0926bde8,2023/02/21 13:24:14,1,164732b9bletest0,null,-62,1,,1676957142000
92468,0926bde8,2023/02/21 13:24:15,1,164732b9bletest0,null,-66.5,2,,1676957142000
92469,0926bde8,2023/02/21 13:24:54,1,164732b9bletest0,null,-64,1,,1676957142000
92478,0926bde8,2023/02/21 13:24:16,1,164732b9bletest0,null,-63,1,,1676957142000
92483,0926bde8,2023/02/21 13:24:57,1,164732b9bletest0,null,-61,1,,1676957142000
92489,0926bde8,2023/02/21 13:24:58,1,164732b9bletest0,null,-66.5,2,,1676957142000
92490,0926bde8,2023/02/21 13:24:18,1,164732b9bletest0,null,-62,1,,1676957142000
92496,0926bde8,2023/02/21 13:24:19,1,164732b9bletest0,null,-63,1,,1676957142000
92501,0926bde8,2023/02/21 13:25:00,1,164732b9bletest0,null,-71,2,,1676957142000
92512,0926bde8,2023/02/21 13:24:21,1,164732b9bletest0,null,-68,2,,1676957142000
92518,0926bde8,2023/02/21 13:24:22,1,164732b9bletest0,null,-65,1,,1676957142000
94208,0926bde8,2023/02/21 13:29:52,1,164732b9bletest0,null,-55,1,,1676957428000
94212,0926bde8,2023/02/21 13:29:53,1,164732b9bletest0,null,-53.666666666666664,1,,1676957428000
94220,0926bde8,2023/02/21 13:29:54,1,164732b9bletest0,null,-55,1,,1676957428000
94226,0926bde8,2023/02/21 13:29:55,1,164732b9bletest0,null,-54,1,,1676957428000
94230,0926bde8,2023/02/21 13:29:56,1,164732b9bletest0,null,-56,1,,1676957428000
94240,0926bde8,2023/02/21 13:29:57,1,164732b9bletest0,null,-56,1,,1676957428000
94244,0926bde8,2023/02/21 13:29:58,1,164732b9bletest0,null,-55,1,,1676957428000
94258,0926bde8,2023/02/21 13:30:01,1,164732b9bletest0,null,-52,1,,1676957428000
94267,0926bde8,2023/02/21 13:29:12,1,164732b9bletest0,null,-56,1,,1676957428000
94270,0926bde8,2023/02/21 13:29:13,1,164732b9bletest0,null,-60,1,,1676957428000
94273,0926bde8,2023/02/21 13:29:14,1,164732b9bletest0,null,-55,1,,1676957428000
94274,0926bde8,2023/02/21 13:29:15,1,164732b9bletest0,null,-60,1,,1676957428000
94868,0926bde8,2023/02/21 13:30:41,1,164732b9bletest0,null,-75,2,,1676957522000
94872,0926bde8,2023/02/21 13:30:42,1,164732b9bletest0,null,-67,2,,1676957522000
94881,0926bde8,2023/02/21 13:30:43,1,164732b9bletest0,null,-68.5,2,,1676957522000
94893,0926bde8,2023/02/21 13:30:47,1,164732b9bletest0,null,-61.666666666666664,1,,1676957522000
94895,0926bde8,2023/02/21 13:30:48,1,164732b9bletest0,null,-60,1,,1676957522000
94899,0926bde8,2023/02/21 13:30:50,1,164732b9bletest0,null,-76,3,,1676957522000
95385,0926bde8,2023/02/21 13:32:16,1,164732b9bletest0,null,-61,1,,1676957611000
95391,0926bde8,2023/02/21 13:32:17,1,164732b9bletest0,null,-56,1,,1676957611000
95397,0926bde8,2023/02/21 13:32:18,1,164732b9bletest0,null,-67,2,,1676957611000
95403,0926bde8,2023/02/21 13:32:19,1,164732b9bletest0,null,-65.5,2,,1676957611000
95405,0926bde8,2023/02/21 13:32:20,1,164732b9bletest0,null,-61,1,,1676957611000
